=== AUDIT SCAN REPORT ===
Total Files Scanned: 202

Madison Beer - yes baby.m4a | yes baby - Madison Beer | Matched: [locket] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Mae Stephens - If We Ever Broke Up.m4a | If We Ever Broke Up - Mae Stephens | Matched: [If We Ever Broke Up - EP] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Major Lazer - Lean On (feat. DJ Snake & MØ).m4a | Lean On (feat. DJ Snake & MØ) - Major Lazer | Matched: [Squeak E. Clean Studios: Vol. 1] | Score: 170 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: LOW_SCORE (170)
Mandy Moore & Jonathan Foreman - Someday We'll Know.m4a | Someday We'll Know - Mandy Moore & Jonathan Foreman | Matched: [A Walk To Remember Music From The Motion Picture-Special Expanded Edition--Digital Replacement GRID] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Mariah Carey - Bye Bye.m4a | Bye Bye - Mariah Carey | Matched: [E=MC2 (Deluxe Version)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Maroon 5 - Moves Like Jagger (feat. Christina Aguilera) [Studio Recording from the Voice Performance].m4a | Moves Like Jagger (feat. Christina Aguilera) [Studio Recording from the Voice Performance] - Maroon 5 | Matched: [Red Pill Blues (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Maroon 5 - Sugar.m4a | Sugar - Maroon 5 | Matched: [V (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Meghan Trainor & T-Pain - Been Like This.m4a | Been Like This - Meghan Trainor & T-Pain | Matched: [Timeless] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Meghan Trainor - Like I'm Gonna Lose You (feat. John Legend).m4a | Like I'm Gonna Lose You (feat. John Legend) - Meghan Trainor | Matched: [Title (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Meghan Trainor - Made You Look.m4a | Made You Look - Meghan Trainor | Matched: [Takin' It Back] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Metro Boomin, The Weeknd & 21 Savage - Creepin'.m4a | Creepin' - Metro Boomin, The Weeknd & 21 Savage | Matched: [HEROES & VILLAINS] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Miley Cyrus - Flowers.m4a | Flowers - Miley Cyrus | Matched: [Endless Summer Vacation] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
My Chemical Romance - I Don't Love You.m4a | I Don't Love You - My Chemical Romance | Matched: [The Black Parade] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Myles Smith - Stargazing.m4a | Stargazing - Myles Smith | Matched: [Apple Music Sessions] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Måneskin - Beggin' (Live).m4a | Beggin' (Live) - Måneskin | Matched: [Chosen] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Ne-Yo - Sexy Love.m4a | Sexy Love - Ne-Yo | Matched: [In My Own Words] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ne-Yo - So Sick.m4a | So Sick - Ne-Yo | Matched: [In My Own Words] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
No Doubt - Hey Baby (feat. Bounty Killer).m4a | Hey Baby (feat. Bounty Killer) - No Doubt | Matched: [Hella Good] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Norah Jones - Come Away with Me.m4a | Come Away with Me - Norah Jones | Matched: [Come Away With Me (Super Deluxe Edition)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Olivia Dean - Man I Need.m4a | Man I Need - Olivia Dean | Matched: [The Art of Loving] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
